country,factor,factor_content,endowment,gdp,trade_balance,ypc,pop,ypc_ratio,country_id,factor_id,delta
Bangladesh,capital,-1890890891,16848373042,14281500000,-1541100288,638,95210000,0.043984832816270254,1,1,0.03
Pakistan,capital,-3198334507,69414736958,31649452800,-2266232320,1217,90427008,0.0839021027231989,2,1,0.09
Indonesia,capital,-4839604060,371000000000,90818720000,1108000768,1598,156584000,0.11016890727335402,3,1,0.1
Sri Lanka,capital,-1578713371,37758144354,5087280000,-722249728,1734,15416000,0.11954498448810755,4,1,0.09
Thailand,capital,-5673105316,108000000000,40207596480,-3910701056,2298,49639008,0.15842812823164426,5,1,0.17
Colombia,capital,-3475805480,85760161019,39487680000,-1890000384,3107,27422000,0.21420199931058256,6,1,0.16
Panama,capital,-1787852862,12195661117,4136220000,-1108799744,3360,2089000,0.23164426059979318,7,1,0.28
Yugoslavia,capital,-4494154392,213000000000,60192000000,-2240999424,4306,22800000,0.2968631506377111,8,1,0.29
Portugal,capital,-6057020530,75691769566,22520770000,-3655200768,4353,10099000,0.3001034126163392,9,1,0.14
Uruguay,capital,674633795.3,20533441187,7288980000,262000128,4507,2963000,0.310720441227163,10,1,0.11
Greece,capital,-7448838520,92467569695,39064800000,-5087404032,5109,9840000,0.35222337125129266,11,1,0.45
Ireland,capital,-740855329,40432318336,17855720000,-560496640,5712,3508000,0.3937952430196484,12,1,0.55
Spain,capital,-8366464465,379000000000,179000000000,-9214496768,5990,38228000,0.4129610479145122,13,1,0.42
Israel,capital,-4321502453,58239165511,26568000000,-4359397376,8713,4100000,0.6006894174422613,14,1,0.49
Hong Kong,capital,-8744387041,56180297525,32495680000,-2058895360,8899,5216000,0.6135125818683212,15,1,0.4
New Zealand,capital,495083664.1,46496799917,25912270000,-56999936,8953,3203000,0.6172354360565322,16,1,0.38
Austria,capital,-3985426681,142000000000,70356680000,-3898802176,9414,7549000,0.6490175801447776,17,1,0.6
Singapore,capital,-10226703538,48541783234,17338860000,-6325796864,9529.999999,2502000,0.6570148224060669,18,1,0.48
Italy,capital,-2310403797,923000000000,430000000000,-5652742144,9530,56836000,0.6571148224750086,19,1,0.6
UK,capital,-32812228162,665000000000,520000000000,-7675379712,9597,56377008,0.6616339193381593,20,1,0.58
Japan,capital,47859517361,2100000000000,1230000000000,21786918912,9607,119259008,0.6623233367804205,21,1,0.7
Belgium,capital,-2130817519,156000000000,92350720000,-1977896960,9742,9856000,0.671630472250948,22,1,0.65
Trinidad,capital,-1801658193,15640016812,7436850000,-229300224,9946,1153000,0.6856945880730783,23,1,0.47
Netherlands,capital,14626270656,224000000000,145000000000,4090687488,9993,14362000,0.6889348500517063,24,1,0.72
Finland,capital,2704995483,94581907222,53152590000,-335896576,10109,4863000,0.6969320923819373,25,1,0.65
Denmark,capital,-2065955903,88245368351,58248460000,-578396160,10466,5114000,0.7215442950706653,26,1,0.73
West Germany,capital,33871422219,1180000000000,703000000000,16737173504,10614,61421008,0.7317476732161323,27,1,0.78
France,capital,-10413238094,1040000000000,582000000000,-14127398912,10645,54652000,0.7338848672871424,28,1,0.74
Sweden,capital,7943620739,127000000000,104000000000,1286299648,10913,8331000,0.7523612547397449,29,1,0.57
Norway,capital,4301253540,102000000000,58523280000,4478296064,11828,4133000,0.8154429507066528,30,1,0.69
Switzerland,capital,-6467842414,186000000000,106000000000,-3626602496,13203,6418000,0.9102378490175801,31,1,0.79
Canada,capital,46106656168,523000000000,318000000000,7343333376,13786,24886000,0.9504308859014133,32,1,0.55
USA,capital,-73958245633,3770000000000,3410000000000,-68827217920,14505,234799008,1,33,1,1
Bangladesh,cropland,-410.1273852,9135,14281500000,-1541100288,638,95210000,0.043984832816270254,1,2,0.03
Pakistan,cropland,649.0516998,20295,31649452800,-2266232320,1217,90427008,0.0839021027231989,2,2,0.09
Indonesia,cropland,-303.7930919,19600,90818720000,1108000768,1598,156584000,0.11016890727335402,3,2,0.1
Sri Lanka,cropland,272.1932864,2174,5087280000,-722249728,1734,15416000,0.11954498448810755,4,2,0.09
Thailand,cropland,3965.74615,18975,40207596480,-3910701056,2298,49639008,0.15842812823164426,5,2,0.17
Colombia,cropland,1763.550568,5680,39487680000,-1890000384,3107,27422000,0.21420199931058256,6,2,0.16
Panama,cropland,133.740952,582,4136220000,-1108799744,3360,2089000,0.23164426059979318,7,2,0.28
Yugoslavia,cropland,50.03813473,7839,60192000000,-2240999424,4306,22800000,0.2968631506377111,8,2,0.29
Portugal,cropland,-2388.100256,3550,22520770000,-3655200768,4353,10099000,0.3001034126163392,9,2,0.14
Uruguay,cropland,551.5761459,1449,7288980000,262000128,4507,2963000,0.310720441227163,10,2,0.11
Greece,cropland,655.443481,3933,39064800000,-5087404032,5109,9840000,0.35222337125129266,11,2,0.45
Ireland,cropland,716.131607,972,17855720000,-560496640,5712,3508000,0.3937952430196484,12,2,0.55
Spain,cropland,-2539.240798,20491,179000000000,-9214496768,5990,38228000,0.4129610479145122,13,2,0.42
Israel,cropland,-156.5984579,420,26568000000,-4359397376,8713,4100000,0.6006894174422613,14,2,0.49
Hong Kong,cropland,-3188.761373,8,32495680000,-2058895360,8899,5216000,0.6135125818683212,15,2,0.4
New Zealand,cropland,2515.328297,470,25912270000,-56999936,8953,3203000,0.6172354360565322,16,2,0.38
Austria,cropland,-1019.452176,1634,70356680000,-3898802176,9414,7549000,0.6490175801447776,17,2,0.6
Singapore,cropland,-1081.729984,6,17338860000,-6325796864,9529.999999,2502000,0.6570148224060669,18,2,0.48
Italy,cropland,-9128.660822,12415,430000000000,-5652742144,9530,56836000,0.6571148224750086,19,2,0.6
UK,cropland,-10406.59456,6978,520000000000,-7675379712,9597,56377008,0.6616339193381593,20,2,0.58
Japan,cropland,-26691.69672,4829,1230000000000,21786918912,9607,119259008,0.6623233367804205,21,2,0.7
Belgium,cropland,-3321.467245,832,92350720000,-1977896960,9742,9856000,0.671630472250948,22,2,0.65
Trinidad,cropland,-443.7410948,158,7436850000,-229300224,9946,1153000,0.6856945880730783,23,2,0.47
Netherlands,cropland,2306.507994,862,145000000000,4090687488,9993,14362000,0.6889348500517063,24,2,0.72
Finland,cropland,-498.9759051,2357,53152590000,-335896576,10109,4863000,0.6969320923819373,25,2,0.65
Denmark,cropland,2356.690424,2651,58248460000,-578396160,10466,5114000,0.7215442950706653,26,2,0.73
West Germany,cropland,-19067.79175,7462,703000000000,16737173504,10614,61421008,0.7317476732161323,27,2,0.78
France,cropland,5626.550316,18617,582000000000,-14127398912,10645,54652000,0.7338848672871424,28,2,0.74
Sweden,cropland,-1333.692353,2973,104000000000,1286299648,10913,8331000,0.7523612547397449,29,2,0.57
Norway,cropland,-596.4582938,841,58523280000,4478296064,11828,4133000,0.8154429507066528,30,2,0.69
Switzerland,cropland,-2764.380562,411,106000000000,-3626602496,13203,6418000,0.9102378490175801,31,2,0.79
Canada,cropland,9689.671548,46180,318000000000,7343333376,13786,24886000,0.9504308859014133,32,2,0.55
USA,cropland,44905.38591,190624,3410000000000,-68827217920,14505,234799008,1,33,2,1
Bangladesh,L-agricul,189.2902387,14666145.9,14281500000,-1541100288,638,95210000,0.043984832816270254,1,3,0.03
Pakistan,L-agricul,8468.857175,11969673.94,31649452800,-2266232320,1217,90427008,0.0839021027231989,2,3,0.09
Indonesia,L-agricul,38831.68105,30653576.79,90818720000,1108000768,1598,156584000,0.11016890727335402,3,3,0.1
Sri Lanka,L-agricul,4619.585632,1899875.751,5087280000,-722249728,1734,15416000,0.11954498448810755,4,3,0.09
Thailand,L-agricul,61834.77095,17746155.21,40207596480,-3910701056,2298,49639008,0.15842812823164426,5,3,0.17
Colombia,L-agricul,18886.00051,1938604.93,39487680000,-1890000384,3107,27422000,0.21420199931058256,6,3,0.16
Panama,L-agricul,3445.591763,148818.8221,4136220000,-1108799744,3360,2089000,0.23164426059979318,7,3,0.28
Yugoslavia,L-agricul,3145.147973,2554846.994,60192000000,-2240999424,4306,22800000,0.2968631506377111,8,3,0.29
Portugal,L-agricul,-15278.24668,741295.2022,22520770000,-3655200768,4353,10099000,0.3001034126163392,9,3,0.14
Uruguay,L-agricul,10214.60021,164456.2929,7288980000,262000128,4507,2963000,0.310720441227163,10,3,0.11
Greece,L-agricul,-293.1931133,984335.7879,39064800000,-5087404032,5109,9840000,0.35222337125129266,11,3,0.45
Ireland,L-agricul,16258.02455,200703.9654,17855720000,-560496640,5712,3508000,0.3937952430196484,12,3,0.55
Spain,L-agricul,-28564.70035,1870268.402,179000000000,-9214496768,5990,38228000,0.4129610479145122,13,3,0.42
Israel,L-agricul,-3359.218748,53685,26568000000,-4359397376,8713,4100000,0.6006894174422613,14,3,0.49
Hong Kong,L-agricul,-44836.01537,53727.39258,32495680000,-2058895360,8899,5216000,0.6135125818683212,15,3,0.4
New Zealand,L-agricul,47545.85031,149943.4483,25912270000,-56999936,8953,3203000,0.6172354360565322,16,3,0.38
Austria,L-agricul,-7584.786801,298010.7084,70356680000,-3898802176,9414,7549000,0.6490175801447776,17,3,0.6
Singapore,L-agricul,-5140.286568,21708.8646,17338860000,-6325796864,9529.999999,2502000,0.6570148224060669,18,3,0.48
Italy,L-agricul,-145591.0623,2177312.794,430000000000,-5652742144,9530,56836000,0.6571148224750086,19,3,0.6
UK,L-agricul,-144541.4696,353521.8496,520000000000,-7675379712,9597,56377008,0.6616339193381593,20,3,0.58
Japan,L-agricul,-461613.4725,6177632.948,1230000000000,21786918912,9607,119259008,0.6623233367804205,21,3,0.7
Belgium,L-agricul,-36637.01169,117800.8088,92350720000,-1977896960,9742,9856000,0.671630472250948,22,3,0.65
Trinidad,L-agricul,-6380.19695,29477.57952,7436850000,-229300224,9946,1153000,0.6856945880730783,23,3,0.47
Netherlands,L-agricul,74672.09364,278429.4518,145000000000,4090687488,9993,14362000,0.6889348500517063,24,3,0.72
Finland,L-agricul,8146.543725,283247.368,53152590000,-335896576,10109,4863000,0.6969320923819373,25,3,0.65
Denmark,L-agricul,53275.43449,189393.7251,58248460000,-578396160,10466,5114000,0.7215442950706653,26,3,0.73
West Germany,L-agricul,-213909.1457,2143897.823,703000000000,16737173504,10614,61421008,0.7317476732161323,27,3,0.78
France,L-agricul,8862.072131,1817802.187,582000000000,-14127398912,10645,54652000,0.7338848672871424,28,3,0.74
Sweden,L-agricul,-3195.1811510000002,225775.1126,104000000000,1286299648,10913,8331000,0.7523612547397449,29,3,0.57
Norway,L-agricul,16223.97199,146597.7424,58523280000,4478296064,11828,4133000,0.8154429507066528,30,3,0.69
Switzerland,L-agricul,-34929.10133,200574.3107,106000000000,-3626602496,13203,6418000,0.9102378490175801,31,3,0.79
Canada,L-agricul,155091.0827,644109.1373,318000000000,7343333376,13786,24886000,0.9504308859014133,32,3,0.55
USA,L-agricul,121970.2894,2898853.631,3410000000000,-68827217920,14505,234799008,1,33,3,1
Bangladesh,L-clerical,-1902.081225,605890.5263,14281500000,-1541100288,638,95210000,0.043984832816270254,1,4,0.03
Pakistan,L-clerical,-4329.942052,731760.0395,31649452800,-2266232320,1217,90427008,0.0839021027231989,2,4,0.09
Indonesia,L-clerical,-8802.458726,1908892.031,90818720000,1108000768,1598,156584000,0.11016890727335402,3,4,0.1
Sri Lanka,L-clerical,-2893.97129,264795.3069,5087280000,-722249728,1734,15416000,0.11954498448810755,4,4,0.09
Thailand,L-clerical,-5128.802969,419650.1797,40207596480,-3910701056,2298,49639008,0.15842812823164426,5,4,0.17
Colombia,L-clerical,-8260.826618,430301.078,39487680000,-1890000384,3107,27422000,0.21420199931058256,6,4,0.16
Panama,L-clerical,-3550.229794,59136.00153,4136220000,-1108799744,3360,2089000,0.23164426059979318,7,4,0.28
Yugoslavia,L-clerical,732.8031884,903731.6897,60192000000,-2240999424,4306,22800000,0.2968631506377111,8,4,0.29
Portugal,L-clerical,-7980.64709,512855.1528,22520770000,-3655200768,4353,10099000,0.3001034126163392,9,4,0.14
Uruguay,L-clerical,2578.198312,139544.716,7288980000,262000128,4507,2963000,0.310720441227163,10,4,0.11
Greece,L-clerical,-18845.77269,339553.3272,39064800000,-5087404032,5109,9840000,0.35222337125129266,11,4,0.45
Ireland,L-clerical,2206.260992,141746.3604,17855720000,-560496640,5712,3508000,0.3937952430196484,12,4,0.55
Spain,L-clerical,-12961.09464,1473505.945,179000000000,-9214496768,5990,38228000,0.4129610479145122,13,4,0.42
Israel,L-clerical,-10515.24077,243860,26568000000,-4359397376,8713,4100000,0.6006894174422613,14,4,0.49
Hong Kong,L-clerical,-1330.146208,308692.5147,32495680000,-2058895360,8899,5216000,0.6135125818683212,15,4,0.4
New Zealand,L-clerical,4531.609069,220121.4346,25912270000,-56999936,8953,3203000,0.6172354360565322,16,4,0.38
Austria,L-clerical,-12257.75584,587582.4778,70356680000,-3898802176,9414,7549000,0.6490175801447776,17,4,0.6
Singapore,L-clerical,-21110.60102,173506.1888,17338860000,-6325796864,9529.999999,2502000,0.6570148224060669,18,4,0.48
Italy,L-clerical,46183.95208,3267869.123,430000000000,-5652742144,9530,56836000,0.6571148224750086,19,4,0.6
UK,L-clerical,-77464.54096,3947280.458,520000000000,-7675379712,9597,56377008,0.6616339193381593,20,4,0.58
Japan,L-clerical,213358.7055,9378519.1,1230000000000,21786918912,9607,119259008,0.6623233367804205,21,4,0.7
Belgium,L-clerical,-3144.437951,701479.6914,92350720000,-1977896960,9742,9856000,0.671630472250948,22,4,0.65
Trinidad,L-clerical,-6488.346611,51031.91105,7436850000,-229300224,9946,1153000,0.6856945880730783,23,4,0.47
Netherlands,L-clerical,33689.20338,960390.0751,145000000000,4090687488,9993,14362000,0.6889348500517063,24,4,0.72
Finland,L-clerical,9711.400237,268514.9197,53152590000,-335896576,10109,4863000,0.6969320923819373,25,4,0.65
Denmark,L-clerical,11463.02026,420289.5271,58248460000,-578396160,10466,5114000,0.7215442950706653,26,4,0.73
West Germany,L-clerical,120677.2471,4702481.323,703000000000,16737173504,10614,61421008,0.7317476732161323,27,4,0.78
France,L-clerical,-24311.08593,4094983.974,582000000000,-14127398912,10645,54652000,0.7338848672871424,28,4,0.74
Sweden,L-clerical,15915.79287,569200.7877,104000000000,1286299648,10913,8331000,0.7523612547397449,29,4,0.57
Norway,L-clerical,2165.28971,197334.3332,58523280000,4478296064,11828,4133000,0.8154429507066528,30,4,0.69
Switzerland,L-clerical,-9137.477135,628643.3513,106000000000,-3626602496,13203,6418000,0.9102378490175801,31,4,0.79
Canada,L-clerical,46665.30942,2287645.269,318000000000,7343333376,13786,24886000,0.9504308859014133,32,4,0.55
USA,L-clerical,-234552.2668,17376468.57,3410000000000,-68827217920,14505,234799008,1,33,4,1
Bangladesh,L-production,-7738.445427,4077336.596,14281500000,-1541100288,638,95210000,0.043984832816270254,1,5,0.03
Pakistan,L-production,-4283.099431,5948798.38,31649452800,-2266232320,1217,90427008,0.0839021027231989,2,5,0.09
Indonesia,L-production,-49865.63936,10441543.76,90818720000,1108000768,1598,156584000,0.11016890727335402,3,5,0.1
Sri Lanka,L-production,-8632.470167,1121258.619,5087280000,-722249728,1734,15416000,0.11954498448810755,4,5,0.09
Thailand,L-production,-29907.24136,2821532.644,40207596480,-3910701056,2298,49639008,0.15842812823164426,5,5,0.17
Colombia,L-production,-29799.80817,1489245.714,39487680000,-1890000384,3107,27422000,0.21420199931058256,6,5,0.16
Panama,L-production,-14070.69913,133589.2004,4136220000,-1108799744,3360,2089000,0.23164426059979318,7,5,0.28
Yugoslavia,L-production,35084.34203,2991044.244,60192000000,-2240999424,4306,22800000,0.2968631506377111,8,5,0.29
Portugal,L-production,2979.076976,1458176.12,22520770000,-3655200768,4353,10099000,0.3001034126163392,9,5,0.14
Uruguay,L-production,7365.712395,329390.815,7288980000,262000128,4507,2963000,0.310720441227163,10,5,0.11
Greece,L-production,-52449.15626,1132168.412,39064800000,-5087404032,5109,9840000,0.35222337125129266,11,5,0.45
Ireland,L-production,-11624.06176,467281.0282,17855720000,-560496640,5712,3508000,0.3937952430196484,12,5,0.55
Spain,L-production,25046.68475,4932665.826,179000000000,-9214496768,5990,38228000,0.4129610479145122,13,5,0.42
Israel,L-production,-30555.03621,379905,26568000000,-4359397376,8713,4100000,0.6006894174422613,14,5,0.49
Hong Kong,L-production,83454.13407,1304958.368,32495680000,-2058895360,8899,5216000,0.6135125818683212,15,5,0.4
New Zealand,L-production,-1190.879372,469365.0576,25912270000,-56999936,8953,3203000,0.6172354360565322,16,5,0.38
